epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,42.6652,2.06755,5.66777,1.64311,0,0,0,0,1.91478,5.41546,1.73925,0.00054,0.00018,0.00054,0.00018,0.00054,0.00018,0.00054,0.00018
2,81.7415,1.67308,5.06178,1.36559,0.00017,0.05128,9e-05,4e-05,1.53942,4.82883,1.35883,0.00111743,0.000372476,0.00111743,0.000372476,0.00111743,0.000372476,0.00111743,0.000372476
3,118.421,1.35339,4.5551,1.13684,0.00085,0.25641,0.00058,0.00036,1.23228,4.36955,1.0553,0.0016711,0.000557032,0.0016711,0.000557032,0.0016711,0.000557032,0.0016711,0.000557032
4,155.129,1.18093,4.1181,0.98385,0.00274,0.82051,0.0041,0.00213,1.01972,4.02505,0.92199,0.002201,0.000733668,0.002201,0.000733668,0.002201,0.000733668,0.002201,0.000733668
5,191.825,1.15674,3.05062,0.97204,0.00316,0.94872,0.00839,0.0056,1.06366,3.74487,0.96891,0.00270715,0.000902384,0.00270715,0.000902384,0.00270715,0.000902384,0.00270715,0.000902384
6,227.615,1.12791,2.11942,0.95693,1,0.86155,0.88972,0.63483,1.04201,3.26814,1.04183,0.00318954,0.00106318,0.00318954,0.00106318,0.00318954,0.00106318,0.00318954,0.00106318
7,262.968,1.08316,1.86913,0.94562,1,0.84948,0.90594,0.65928,1.04805,3.21601,1.01294,0.00364817,0.00121606,0.00364817,0.00121606,0.00364817,0.00121606,0.00364817,0.00121606
8,297.937,1.04659,1.75946,0.94104,1,0.69648,0.97444,0.68588,1.0502,3.0656,1.01061,0.00408304,0.00136101,0.00408304,0.00136101,0.00408304,0.00136101,0.00408304,0.00136101
9,332.961,1.07396,1.67747,0.94531,1,0.72401,0.99357,0.71903,1.09863,2.79992,1.02623,0.00449414,0.00149805,0.00449414,0.00149805,0.00449414,0.00149805,0.00449414,0.00149805
10,368.179,0.99586,1.59833,0.91369,1,0.94796,0.995,0.73233,1.02529,2.41538,1.00596,0.00488149,0.00162716,0.00488149,0.00162716,0.00488149,0.00162716,0.00488149,0.00162716
11,402.812,1.03464,1.55659,0.92787,1,0.98598,0.995,0.71722,1.03434,2.213,1.01375,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
12,438.098,0.97527,1.47098,0.91272,0.99154,0.97436,0.9945,0.70507,1.02056,1.95814,0.99251,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
13,472.738,0.9143,1.42178,0.90954,0.99219,0.97436,0.9945,0.74204,0.98577,1.80131,0.98209,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
14,508.134,0.95608,1.42065,0.90848,1,0.9886,0.995,0.76182,0.95474,1.70735,0.97368,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
15,542.407,0.96974,1.34039,0.89531,1,0.99499,0.995,0.73314,1.00677,1.58983,0.97609,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
16,577.661,0.85659,1.26076,0.88919,1,0.99766,0.995,0.75208,1.00974,1.47956,0.97781,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
17,612.145,0.84979,1.26538,0.87889,0.99359,1,0.995,0.75252,0.95836,1.41258,0.96257,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
18,647.269,0.85087,1.23497,0.89287,0.9895,1,0.995,0.73709,0.98845,1.39938,0.98174,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
19,681.647,0.92326,1.23674,0.88553,0.9921,1,0.995,0.75443,0.96069,1.3121,0.97303,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
20,717.018,0.86497,1.14521,0.87679,0.99283,1,0.995,0.75166,0.97017,1.24609,0.97045,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
21,751.465,0.85736,1.12305,0.87709,0.99515,1,0.995,0.74682,0.94525,1.21879,0.95776,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
22,786.782,0.83608,1.10492,0.85689,0.99764,1,0.995,0.75997,0.94346,1.18674,0.95924,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
23,821.172,0.82157,1.05881,0.87095,1,0.99965,0.995,0.76986,0.94086,1.15425,0.96343,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
24,856.125,0.79072,1.03927,0.87527,0.99955,1,0.995,0.76731,0.96546,1.12737,0.97669,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
25,890.418,0.84023,1.0324,0.88531,0.9986,1,0.995,0.74517,1.01066,1.09622,0.99251,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
26,925.803,0.82071,1.08596,0.87453,1,0.99995,0.995,0.74241,0.98968,1.12029,0.98154,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
27,960.159,0.79002,1.0266,0.88428,1,0.99927,0.995,0.74943,0.93865,1.04834,0.98178,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
28,995.176,0.80509,1.0164,0.87167,1,0.99904,0.995,0.74818,0.92256,1.04032,0.95793,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
29,1029.58,0.78983,0.98246,0.86644,1,0.99807,0.995,0.74551,0.96283,1.03994,0.96595,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
30,1064.88,0.78673,0.96714,0.87243,1,0.99892,0.995,0.74662,0.99944,1.01453,0.97452,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
31,1099.28,0.76904,0.95443,0.86393,0.99703,1,0.995,0.73365,1.01548,1.0287,0.97607,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
32,1134.42,0.7595,0.96331,0.86147,0.99707,1,0.995,0.74833,0.98076,1.00887,0.9725,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
33,1168.93,0.75656,0.94933,0.85096,0.99678,1,0.995,0.75087,0.93558,0.97181,0.96435,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
34,1204.02,0.74514,0.91281,0.85902,0.99774,1,0.995,0.7557,0.98437,0.98447,0.97892,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
35,1238.19,0.73718,0.88274,0.85399,0.99756,1,0.995,0.75572,0.96683,0.98429,0.97712,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
36,1273.37,0.72275,0.89285,0.8552,0.99761,1,0.995,0.76322,0.92615,0.95413,0.96202,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
37,1307.46,0.70513,0.88422,0.84505,0.99773,1,0.995,0.75635,0.97342,0.96886,0.97423,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
38,1342.38,0.69036,0.85208,0.85059,0.9979,1,0.995,0.76552,0.95623,0.9397,0.96761,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
39,1376.59,0.73203,0.84983,0.84383,0.99789,1,0.995,0.76137,0.96444,0.92842,0.96699,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
40,1411.88,0.68667,0.8531,0.83822,0.99797,1,0.995,0.77686,0.91656,0.94526,0.95534,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
